PROFILE_CODE,REF_Code
"0000","Shareef1987"
"0000010",
"000002.5",
"0000030",
"00000C",
"0001","EPA1985"
"0001","Radian1990"
"0002","EPA1985"
"0002","Radian1990"
"0003","EPA1985"
"0003","Radian1990"
"0004","EPA1985"
"0004","Radian1990"
"0005","EPA1985"
"0005","Radian1990"
"0007","EPA1985"
"0007","Radian1990"
"0008","EPA1985"
"0008","Radian1990"
"0009","EPA1985"
"0009","Radian1990"
"0011","EPA1985"
"0011","Radian1990"
"0012","Radian1990"
"0012","Taback1978"
"0013","Radian1990"
"0013","Taback1978"
"0014","Radian1990"
"0014","Taback1978"
"0016","Radian1990"
"0016","Taback1978"
"0023","Radian1990"
"0023","Taback1978"
"0024","Radian1990"
"0024","Taback1978"
"0025","Radian1990"
"0025","Sonnichsen"
"0026","Radian1990"
"0026","Taback1978"
"0029","Radian1990"
"0029","Taback1978"
"0031","Radian1990"
"0031","Taback1978"
"0035","Radian1990"
"0035","Scott1978"
"0039","Radian1990"
"0039","Taback1978"
"0047","Radian1990"
"0047","Sonnichsen"
"0051","Radian1990"
"0051","Sonnichsen"
"0066","Hughes1975"
"0066","Radian1990"
"0068","Radian1990"
"0068","Sonnichsen"
"0068","Taback1978"
"0072","Radian1990"
"0072","Trijonas1976"
"0076","DFA1976"
"0076","Radian1990"
"0076","Sonnichsen"
"0078","Danielson1973"
"0078","Radian1990"
"0079","Radian1990"
"0079","Sonnichsen"
"0085","Sonnichsen"
"0085","Taback1978"
"0087","Scott1978"
"0088","Radian1990"
"0088","Taback1978"
"0089","Radian1990"
"0089","Taback1978"
"0090","Radian1990"
"0090","Taback1978"
"0100","Mayrsohn1967"
"0100","Mayrsohn1976"
"0100","Radian1990"
"0121","Radian1990"
"0121","Sonnichsen"
"0122","Radian1990"
"0122","Taback1978"
"0127","Radian1990"
"0127","Taback1978"
"0166","Radian1990"
"0166","Taback1978"
"0182","Radian1990"
"0182","Taback1978"
"0183","Radian1990"
"0183","Sonnichsen"
"0195","Radian1990"
"0195","Taback1978"
"0197","Radian1990"
"0197","Taback1978"
"0202","Radian1990"
"0202","Taback1978"
"0203","Radian1990"
"0203","Taback1978"
"0217","Radian1990"
"0217","Scott1978"
"0219","Radian1990"
"0219","Taback1978"
"0220","Radian1990"
"0220","Taback1978"
"0221","Radian1990"
"0221","Taback1978"
"0222","Radian1990"
"0222","Taback1978"
"0223","Radian1990"
"0223","Taback1978"
"0225","Radian1990"
"0225","Taback1978"
"0226","Radian1990"
"0226","Taback1978"
"0227","Radian1990"
