REF_Code,REFERENCE,REF_DESCRIPTION,LINK
"Koss2018","Koss, A.R., Sekimoto, K., Gilman, J.B., et al. Non-methane organic gas emissions from biomass burning: identification, quantification, and emission factors from PTR-ToF during the FIREX 2016 laboratory experiment, Atmos. Chem. Phys., 18, 3299–3319, https://doi.org/10.5194/acp-18-3299-2018, 2018.","Volatile and intermediate-volatility non-methane organic gases (NMOGs) released from biomass burning were measured during laboratory-simulated wildfires by protontransfer-reaction time-of-flight mass spectrometry (PTRToF). We identified NMOG contributors to more than 150 PTR ion masses using gas chromatography (GC) preseparation with electron ionization, H3OC chemical ionization, and NO+ chemical ionization. Our interpretation of the PTR-ToF mass spectrum accounts for
nearly 90% of NMOG mass detected by PTR-ToF across all fuel types.","https://doi.org/10.5194/acp-18-3299-2018"
"Lu2020","Lu, Q., Murphy, B. N., Qin, M., Adams, P. J., Zhao, Y., Pye, H. O. T., Efstathiou, C., Allen, C., and Robinson, A. L., 2020. 'Simulation of organic aerosol formation during the CalNex study:
updated mobile emissions and secondary organic aerosol parameterization for intermediate-volatility
organi compounds', Atmospheric Chemistry and Physics, 20, 4313–4332. https://doi.org/10.5194/acp-20-4313-2020","We describe simulations using an updated version of the Community Multiscale Air Quality model version 5.3 (CMAQ v5.3) to investigate the contribution of intermediate-volatility organic compounds (IVOCs) to secondary organic aerosol (SOA) formation in southern California during the CalNex study. We first derive a model-ready parameterization for SOA formation from IVOC emissions from mobile sources. To account for SOA formation from both diesel and gasoline sources, the parameterization has six lumped precursor species that resolve both volatility and molecular structure (aromatic versus aliphatic). We also implement new mobile-source emission profiles that quantify all IVOCs based on direct measurements.","https://doi.org/10.5194/acp-20-4313-2020"
"Huang2018","Huang, C., Hu, Q., Li, Y., Tian, J., Ma, Y., Zhao, Y., Feng, J., An, J., Qiao, L., Wang, H., Jing, S., Huang, D., Lou, S., Zhou, M., Zhu, S., Tao, T., and Li, L. ""Intermediate Volatility Organic Compound Emissions from a Large Cargo Vessel Operated under Real-World Conditions."" Environmental Science & Technology, 52, 12934-12942. doi: 10.1021/acs.est.8b04418","Intermediate volatility organic compound (IVOC) emissions from a large cargo vessel were characterized under real-world operating conditions using an on-board measurement system. Test ship fuel-based emission factors (EFs) of total IVOCs were determined for two fuel types and seven operating conditions. Fuel type was the dominant determinant of ship IVOC emissions, IVOC volatility distributions, and SOA production. The ship emitted more IVOC mass, produced higher proportions of volatile organic components, and produced more SOA mass when fueled with LSF than when fueled with HSF. When reducing ship POA emissions, more attention should be paid to commensurate control of ship SOA formation potential.","https://pubs.acs.org/doi/10.1021/acs.est.8b04418"
"Jathar2020","Jathar, S. H., Sharma, N., Galang, A., Vanderheyden, C., Takhar, M., Chan, A. W. H., Pierce, J. R., Volckens, J. ""Measuring and modeling the primary organic aerosol volatility from a modern non-road diesel engine."" Atmospheric Environment, 223, 2020.","Primary organic aerosol (POA) in diesel exhaust is semi-volatile and partitions mass between the gas and particle phases. POA volatility is not well understood for alternative fuels, varying engine loads, and for engines that feature modern emissions controls. In this study, we performed filter-based measurements of diesel exhaust from a modern-day non-road diesel engine for two different fuels (conventional diesel and soy-based biodiesel), two different engine loads (idle and 50% load), and with and without an emissions control device.","#https://doi.org/10.1016/j.atmosenv.2019.117221#"
"Gullett2012","Gullet, B., Dodder, R., Gilmour, I., Hays, M., Kinsey, J., Linak, W., Loughlin, D., Oudejans, L., Yelverton, T.,  Wood, G., Toney, M., Touati, A., Aurell, J., Cho, S., Sidhu, S., Moshan, K.A., Kahandawala, S.P., ENVIRONMENTAL, ENERGY MARKET, AND HEALTH CHARACTERIZATION OF WOOD-FIRED HYDRONIC HEATER TECHNOLOGIES, Final Report Prepared for the New York State Energy Research and Development Authority (NYSERDA),  Report 12-15, ISBN:  978-1-936842-03-2, June 2012. Availble at https://www.nyserda.ny.gov/-/media/Files/Publications/Research/Environmental/Wood-Fired-Hydronic-Heater-Tech.pdf","A joint project between the U.S. Environmental Protection Agency (EPA) Office for Research and Development (ORD) and the New York State Energy Research and Development Authority (NYSERDA) was done to addressdata gaps on emissions and potential human health risks associated with hydronic heaters (HHs) by  testing four current and emerging technology HHs, which are also referred to as Outdoor HHs, or HHs, and Outdoor Wood-fired Boilers (OWBs). The emissions and energy-efficiency performance of four types of residential wood boiler technologies ranging from the common HH to a high-efficiency pellet heater to a unit with thermal storage were characterized. Measurements included emissions of particulate matter (PM), elemental carbon (EC), carbon monoxide (CO), PAHs, volatile organic compounds (VOCs), semi-volatile organic compounds (SVOCs), and polychlorinated dibenzodioxins/dibenzofurans (PCDDs/Fs). This work was complemented by an energy and market impacts analysis of HHs for the State of New York. Lastly, the health effects of HH emissions were evaluated with an exposure study for pulmonary and systemic biomarkers of injury and inflammation. ","https://www.nyserda.ny.gov/-/media/Project/Nyserda/Files/Publications/Research/Environmental/Wood-Fired-Hydronic-Heater-Tech.pdf"
"Kinsey2012","Kinsey, John S.,Abderrahmane Touati, Tiffany L.B.Yelverton, Johanna Aurell, Seung-Hyu Cho,  William P.Linak, Brian K. Gullett., 2012, Emissions Characterization of Residential Wood-fired Hydronic Heater Technologies, Atmospheric Environment, Volume 63, pp. 239-249, https://doi.org/10.1016/j.atmosenv.2012.08.064","Paper comes out of the same study as that written up in the NYSERDA publication: ENVIRONMENTAL, ENERGY MARKET, AND HEALTH CHARACTERIZATION OF WOOD-FIRED HYDRONIC HEATER TECHNOLOGIES, Final Report Prepared for the New York State Energy Research and Development Authority (NYSERDA),  Report 12-15, ISBN:  978-1-936842-03-2, June 2012.  Reported here is the thermal performance of the appliances tested plus the emission results for carbon dioxide (CO2), carbon monoxide (CO), total hydrocarbons (THC), nitrous oxide (N2O), methane (CH4), total PM mass, particle number, and particle size distributions. The remainder of the emission data collected during the program are provided elsewhere (Hays et al., 2012; Aurell et al., 2012).  The only speciation data provided in this paper (Supplemental) is for the first appliance tested (Appliance A--Fig. 1a), a widely used traditional design with a single-stage, updraft combustion process that occurs in a rectangular firebox surrounded by a high capacity water jacket having a heat exchanger surface area of 6.87 m2. The hot flue gases are vented by natural convection through a stainless steel insulated stack connected to a rear exhaust outlet. ","https://doi.org/10.1016/j.atmosenv.2012.08.064"
"Cooper1983b","Cooper, J. A., C. A. Frazier, and J. E. Houck. 1983. 'Seattle-Tacoma Aerosol  Characterization Study (STACS) - Draft final report', Prepared for the Puget Sound  Air Pollution Control Agency by NEA, Inc.",,
"Cooper1987","Cooper, J.A., D.C. Redline, J.R. Sherman, L.M. Valdovinos, W.L. Pollard, L.C. Scavone, C. Badgett-West, NEI, Inc., 1987. 'PM10 Source Composition Library for the  South Coast Air Basin, Volume I and II', Prepared for the South Coast Air  Quality Management District, El Monte, CA, by NEA, Inc. https://www.arb.ca.gov/ei/speciate/r01t20/rf12doc/refnum12.htm",,"#https://www.arb.ca.gov/ei/speciate/r01t20/rf12doc/refnum12.htm#"
"Cooper1996","Cooper, D.A., Peterson, Simpson. 1996.  'VOC, PAH, PCB emissions from ferries', Atmospheric Environment, vol. 30, pp. 2463-2473. http://doi.org/10.1016/1352-2310(95)00494-7","Hydrocarbon speciation measurements were carried out on board two passenger ferries (medium speed, four-stroke diesel main engines) operating in the Skagerak-Kattegatt-~resund region.  Average emission factors for 20 light-weight hydrocarbons (C2-C6), 12 medium-weight hydrocarbons (C6-C12), and hexachlorbenzene (HCB) were determined for a situation with varying engine loads and a short service route (MS Aurora, Helsingborg-Helsingor) and a case with a longer service route and more constant engine loads (Stena Danica, Grteborg-Fredrikshavn).","#http://doi.org/10.1016/1352-2310(95)00494-7#"
"Copeland1978","Copeland, D. A., Rohm and Haas Texas Inc., Deer Park, Texas, Letter Dated  May 19, 1978 to D. R. Goodwin, U. S. Environmental Protection Agency.",,
"Core1979","Core, J. E., 1979. 'Willamette Valley Field and Slash Burning Impact Air Quality  Surveillance Program, Volume 3',  State of Oregon, Department of Environmental Quality. https://digital.osl.state.or.us/islandora/object/osl:95058",,"#https://digital.osl.state.or.us/islandora/object/osl:95058#"
"Core1981","Core, J. E., J. A. Cooper, R. T. DeCesar, and J. E. Houck. 1981, 'South Bend,  Indiana Aerosol Study', Unpublished, NEA, Incorporated.",,
"Core1982a","Core, J. E., J. A. Cooper, and R. T. DeCesar. 1982. 'Iowa Source Apportionment  Study',  Report Prepared for U. S. Environmental Protection Agency Region  VII by NEA, Inc.",,
"Core1982b","Core, J.E., John A. Cooper, Richard T. DeCesar, James E. Houck, 1982. 'A Study of Residential Wood Combustion Task 1', Prepared for US EPA, Region X, Contract No. 68-02-3566, by NEA, Incorporated. https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=20008Y8G.TXT",,"#https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=20008Y8G.TXT#"
