ID1,SPECIES_ID,Descriptor,Convention,Notes
1985,1,"(1-methylpropyl)benzene","Preexisting",
1986,1,"sec-butylbenzene","Preexisting",
1987,3,"(2-methylpropyl)benzene ","Preexisting",
1988,3,"isobutylbenzene","Preexisting",
1989,39,"1,2-dimethyl-4-ethylbenzene ","Preexisting",
1990,39,"2-Methyl-p-ethyltoluene","Preexisting",
1991,39,"4-Ethyl-o-xylene","Preexisting",
1992,39,"4-Ethyl-1,2-dimethylbenzene","Preexisting",
1993,39,"3,4-Dimethyl-1-ethylbenzene","Preexisting",
1994,53,"1,3-dimethyl-4-ethylbenzene ","Preexisting",
1995,53,"4-Ethyl-m-xylene","Preexisting",
1996,53,"2,4-Dimethyl-1-ethylbenzene","Preexisting",
1997,53,"4-Ethyl-1,3-dimethylbenzene","Preexisting",
1998,63,"1-(1,1-dimethylethyl)-3,5-dimethylbenzene  ","Preexisting",
1999,63,"tert-butyl-3,5-dimethylbenzene","Preexisting",
2000,65,"1-butyne ","Preexisting",
2001,65,"Ethylacetylene","Preexisting",
2002,65,"Ethylethyne","Preexisting",
2003,80,"1-Methyl-2-ethylbenzene ","Preexisting",
2004,80,"o-ethyltoluene","Preexisting",
2005,80,"1-Ethyl-2-methylbenzene","Preexisting",
2006,80,"2-ethyltoluene","Preexisting",
2007,80,"2-Ethylmethylbenzene","Preexisting",
2008,81,"1-Methyl-2-isopropylbenzene ","Preexisting",
2009,81,"o-cymene","Preexisting",
2010,81,"Ortho-Isopropyltoluene","Preexisting",
2011,89,"1-Methyl-3-ethylbenzene ","Preexisting",
2012,89,"1-Ethyl-3-methylbenzene","Preexisting",
2013,89,"3-Ethyltoluene","Preexisting",
2014,94,"1-Methyl-4-ethylbenzene ","Preexisting",
2015,94,"1-Ethyl-4-methylbenzene","Preexisting",
2016,94,"4-ethyltoluene","Preexisting",
2017,97,"1-Methyl-4-isopropylbenzene ","Preexisting",
2018,97,"p-Cymene","Preexisting",
2019,97,"p-Isopropyltoluene","Preexisting",
2020,97,"p-Methylisopropylbenzene","Preexisting",
2021,97,"Camphogen","Preexisting",
2022,97,"Dolcymene","Preexisting",
2023,97,"1-Isopropyl-4-methylbenzene","Preexisting",
2024,104,"1-Methylindan ","Preexisting",
2025,104,"1-Methylindane","Preexisting",
2026,127,"2,2-dimethylpropane ","Preexisting",
2027,127,"Neopentane","Preexisting",
2028,127,"1,1,1-Trimethylethane","Preexisting",
2029,188,"2-methyl-2-propenal ","Preexisting",
2030,188,"Methacrolein","Preexisting",
2031,188,"Methacrylaldehyde","Preexisting",
2032,188,"Isobutenal","Preexisting",
2033,188,"Methacrylic aldehyde","Preexisting",
2034,203,"3,3-dimethyl-1-butene ","Preexisting",
2035,203,"3,3-Dimethylbutene","Preexisting",
2036,236,"3-methyl-cis-2-pentene ","Preexisting",
2037,236,"cis-3-Methyl-2-pentene","Preexisting",
2038,239,"3-methyl-trans-2-pentene ","Preexisting",
2039,239,"trans-3-Methyl-2-Pentene","Preexisting",
2040,260,"4-methyl-cis-2-pentene ","Preexisting",
2041,260,"cis-4-Methyl-2-Pentene","Preexisting",
2042,282,"Acetylene ","Preexisting",
2043,282,"ethyne","Preexisting",
2044,299,"β-methylstyrene ","Preexisting",
2045,299,"β-Methylstyrol","Preexisting",
2046,299,"ω-Methylstyrene","Preexisting",
2047,299,"Isoallylbenzene","Preexisting",
2048,299,"Propenylbenzene","Preexisting",
2049,299,"1-Phenyl-1-propene","Preexisting",
2050,299,"1-Phenylpropene","Preexisting",
2051,299,"1-Propene, 1-phenyl-","Preexisting",
2052,299,"1-Propenylbenzene","Preexisting",
2053,343,"Chloroform ","Preexisting",
2054,343,"Trichlormethan","Preexisting",
2055,343,"Methane trichloride","Preexisting",
2056,358,"Cis-1,trans-2,4-trimethylcyclopentane ","Preexisting",
2057,358,"1-trans-2,cis-4-Trimethylcyclopentane","Preexisting",
2058,358,"1-trans-2-trans-4-Trimethylcyclopentane","Preexisting",
2059,375,"Cis-bicyclo[4.3.0]nonane ","Preexisting",
2060,375,"cis-Hydrindane","Preexisting",
2061,382,"Crotonaldehyde ","Preexisting",
2062,382,"2-Butenal","Preexisting",
2063,392,"D-limonene ","Preexisting",
2064,392,"4-isopropenyl-1-methylcycohexane","Preexisting",
2065,392,"1-methyl-4-(prop-1-en-2-yl)cyclohexene","Preexisting",
2066,452,"Ethylene ","Preexisting",
2067,452,"ethene","Preexisting",
2068,469,"Gamma- butyrolactone ","Preexisting",
2069,469,"Dihydro-2(3H)-furanone","Preexisting",
2070,469,"4-Hydroxybutanoic acid lactone","Preexisting",
2071,485,"Indane ","Preexisting",
2072,485,"Indan","Preexisting",
2073,485,"Benzocyclopentane","Preexisting",
2074,485,"Hydrindene","Preexisting",
2075,485,"Indene, 2,3-dihydro-","Preexisting",
2076,485,"1,2-Hydrindene","Preexisting",
2077,485,"2,3-Dihydroindene","Preexisting",
2078,485,"2,3-Dihydro-1H-indene","Preexisting",
2079,491,"Isobutane ","Preexisting",
2080,491,"2-Methylpropane","Preexisting",
2081,497,"Isobutylene ","Preexisting",
2082,497,"isobutene, 2-Methylpropene","Preexisting",
2083,498,"Isocyanic acid ","Preexisting",
2084,498,"Isocyanate","Preexisting",
2085,508,"Isopentane ","Preexisting",
2086,508,"2-Methylbutane","Preexisting",
2087,514,"Isopropylbenzene ","Preexisting",
2088,514,"cumene","Preexisting",
2089,514,"2-Phenylpropane","Preexisting",
2090,515,"Isopropylcyclohexane ","Preexisting",
2091,515,"1-methylethylcyclohexane","Preexisting",
2092,536,"Methyl ethyl ketone ","Preexisting",
2093,536,"MEK, 2-butanone","Preexisting",
2094,539,"Methyl isobutyl ketone ","Preexisting",
2095,539,"4-Methyl-2-pentanone","Preexisting",
2096,595,"N-butyl alcohol ","Preexisting",
2097,595,"1-Butanol","Preexisting",
2098,607,"N-propyl alcohol ","Preexisting",
2099,607,"1-Propanol","Preexisting",
2100,619,"O-dichlorobenzene ","Preexisting",
2101,619,"1,2-Dichlorobenzene","Preexisting",
2102,647,"P-dichlorobenzene ","Preexisting",
2103,647,"1,4-Dichlorobenzene","Preexisting",
2104,673,"Propionaldehyde ","Preexisting",
2105,673,"Propanal","Preexisting",
2106,673,"1-Propanone","Preexisting",
2107,673,"1-Propanal","Preexisting",
2108,678,"Propylene ","Preexisting",
2109,678,"Propene","Preexisting",
2110,678,"1-Propene","Preexisting",
2111,716,"m-Tolualdehyde ","Preexisting",
2112,716,"m-Methylbenzaldehyde","Preexisting",
2113,716,"3-Methylbenzaldehyde","Preexisting",
2114,770,"Vinylacetylene ","Preexisting",
2115,770,"Butenyne","Preexisting",
2116,770,"Ethynylethene","Preexisting",
2117,770,"1-Butenyne","Preexisting",
2118,770,"Vinylethyne","Preexisting",
2119,840,"Hexaldehyde ","Preexisting",
2120,840,"hexanal, Hexanaldehyde","Preexisting",
2121,845,"Valeraldehyde ","Preexisting",
2122,845,"n-Pentanal","Preexisting",
2123,845,"1-pentanal","Preexisting",
2124,849,"Anthraquinone ","Preexisting",
2125,849,"Anthradione","Preexisting",
2126,849,"Hoelite","Preexisting",
2127,849,"Morkit","Preexisting",
2128,849,"9,10-Anthraquinone","Preexisting",
2129,881,"9-fluorenone ","Preexisting",
2130,881,"Fluorenone","Preexisting",
2131,903,"Perinaphthenone ","Preexisting",
2132,903,"Phenalenone","Preexisting",
2133,903,"7-Perinaphthenone","Preexisting",
2134,903,"1H-phenalen-1-one","Preexisting",
2135,935,"2-methoxy-4-(2-propenyl)phenol ","Preexisting",
2136,935,"eugenol","Preexisting",
2137,935,"“a4gucl”","Preexisting",
2138,935,"4-Allylguaiacol","Preexisting",
2139,969,"Syringol","Preexisting",
2140,969,"2,6-Dimethoxyphenol","Preexisting",
2141,976,"Acetophenone ","Preexisting",
2142,976,"1-phenylethanone","Preexisting",
2143,976,"Methyl phenyl ketone","Preexisting",
2144,992,"Benzonitrile ","Preexisting",
2145,992,"Benzoic acid nitrile","Preexisting",
2146,992,"Cyanobenzene","Preexisting",
2147,992,"Phenyl cyanide","Preexisting",
2148,992,"Benzenenitrile","Preexisting",
2149,1012,"2-methylbenzofuran ","Preexisting",
2150,1012,"2-Methyl-1-benzofuran","Preexisting",
2151,1013,"2,3-benzofuran ","Preexisting",
2152,1013,"Benzofurfuran","Preexisting",
2153,1013,"Benzo[b]furan","Preexisting",
2154,1013,"Coumarone","Preexisting",
2155,1013,"1-Oxindene","Preexisting",
2156,1023,"Isoamylbenzene ","Preexisting",
2157,1023,"1-phenyl-3-methylbutane","Preexisting",
2158,1120,"G-nonanoic lactone ","Preexisting",
2159,1120,"4-Hydroxynonanoic acid lactone","Preexisting",
2160,1120,"4-Nonanolide","Preexisting",
2161,1120,"γ-Nonalacton","Preexisting",
2162,1120,"(3H)-Dihydro-5-pentyl-2-furanone","Preexisting",
2163,1120,"5-Pentyl-γ-lactone","Preexisting",
2164,1120,"5-Pentyldihydrofuran-2(3H)-one","Preexisting",
2165,1120,"Dihydro-5-pentyl-2(3H)-furanone","Preexisting",
2166,1463,"2,3-Butanedione ","Preexisting",
2167,1463,"Biacetyl","Preexisting",
2168,1463,"Butane-2,3-dione","Preexisting",
2169,1463,"Butanedione","Preexisting",
2170,1463,"Diacetyl","Preexisting",
