SPECIES_ID,SPECIES_NAME,SPECIES_NAMES
1,"(1-methylpropyl)benzene (or sec-butylbenzene)","(1-methylpropyl)benzene || sec-butylbenzene || Benzene, (1-methylpropyl)-"
2,"(2-methylbutyl)cyclohexane","(2-methylbutyl)cyclohexane || 1-cyclohexyl-2-methylbutane"
3,"(2-methylpropyl)benzene (or isobutylbenzene)","(2-methylpropyl)benzene  || isobutylbenzene"
4,"1,1,1-trichloroethane","1,1,1-trichloroethane || Methylchloroform || Ethane, 1,1,1-trichloro-"
5,"1,1,2,2-tetrachloroethane","1,1,2,2-tetrachloroethane || Acetylene tetrachloride"
6,"1,1,2,3-tetramethylcyclohexane (or cyclohexane, 1,1,2,3-tetramethyl-)","1,1,2,3-tetramethylcyclohexane || Cyclohexane, 1,1,2,3-tetramethyl-"
7,"1,1,2-trichloroethane","1,1,2-trichloroethane || Ethane, 1,1,2-trichloro- || Vinyltrichloride"
8,"1,1,2-trimethylcyclohexane","1,1,2-trimethylcyclohexane || Cyclohexane, 1,1,2-trimethyl-"
9,"1,1,2-trimethylcyclopentane","1,1,2-trimethylcyclopentane || Camphocean"
10,"1,1,3,4-tetramethylcyclohexane","1,1,3,4-tetramethylcyclohexane || Cyclohexane, 1,1,3,4-tetramethyl-"
11,"1,1,3,5-tetramethylcyclohexane","1,1,3,5-tetramethylcyclohexane || Cyclohexane, 1,1,3,5-tetramethyl-"
12,"1,1,3-trimethylcyclohexane","1,1,3-trimethylcyclohexane || Cyclohexane, 1,1,3-trimethyl- || Cyclogeraniolane"
13,"1,1,3-trimethylcyclopentane","1,1,3-trimethylcyclopentane || Cyclopentane, 1,1,3-trimethyl- (8CI)(9CI)"
14,"1,1,4-trimethylcyclohexane","1,1,4-trimethylcyclohexane || Cyclohexane, 1,1,4-trimethyl-"
15,"1,1-dichloro-1-fluoroethane","1,1-dichloro-1-fluoroethane || HCFC-141b || Ethane, 1,1-dichloro-1-fluoro- || Freon-141 || CFC 141b || Dichlorofluoroethane"
16,"1,1-dichloroethane (or Ethylidene dichloride)","1,1-dichloroethane || Ethylidene dichloride || Ethane, 1,1-dichloro-"
17,"1,1-dichloroethene (or Vinylidene chloride || 1,1-Dichloroethylene)","1,1-dichloroethene || Vinylidene chloride"
18,"1,1-dimethyl-2-propylcyclohexane","1,1-dimethyl-2-propylcyclohexane || Cyclohexanone, 4-(1,1-dimethylpropyl)- || 4-tert-Pentylcyclohexanone || Cyclohexanone, 4-tert-pentyl-"
19,"1,1-dimethylcyclohexane","1,1-dimethylcyclohexane || Cyclohexane, 1,1-dimethyl- || gem-Dimethylcyclohexane"
20,"1,1-dimethylcyclopentane","1,1-dimethylcyclopentane || Cyclopentane, 1,1-dimethyl- (8CI)(9CI) || gem-Dimethylcyclopentane"
21,"1,1-Methylethylcyclopentane (or Cyclopentane, 1-ethyl-1- methyl-)","1,1-Methylethylcyclopentane || Cyclopentane, 1-ethyl-1- methyl-"
22,"1,2,3,4-tetramethylbenzene","1,2,3,4-tetramethylbenzene || Benzene, 1,2,3,4-tetramethyl- || Prehnitene || Prehnitol"
23,"1,2,3,5-tetramethylbenzene","1,2,3,5-tetramethylbenzene || Benzene, 1,2,3,5-tetramethyl- || Isodurene"
24,"1,2,3-trimethyl-4-ethylbenzene","1,2,3-trimethyl-4-ethylbenzene || Benzene, 1-ethyl-2,3,4-trimethyl-"
25,"1,2,3-trimethylbenzene","1,2,3-trimethylbenzene || Benzene, 1,2,3-trimethyl- || Hemimellitene"
26,"1,2,3-trimethylcyclohexane","1,2,3-trimethylcyclohexane || Cyclohexane, 1,2,3-trimethyl-"
27,"1,2,3-trimethylcyclopentane","1,2,3-trimethylcyclopentane || Cyclopentane, 1,2,3-trimethyl-"
28,"1,2,4,5-tetramethylbenzene","1,2,4,5-tetramethylbenzene || Benzene, 1,2,4,5-tetramethyl- || Durene || p-Xylene, 2,5-dimethyl- (7CI)"
29,"1,2,4-triethylbenzene","1,2,4-triethylbenzene || Benzene, 1,2,4-triethyl-"
30,"1,2,4-trimethylbenzene","1,2,4-trimethylbenzene || Benzene, 1,2,4-trimethyl-"
31,"1,2,4-trimethylcyclopentane","1,2,4-trimethylcyclopentane || Cyclopentane, 1,2,4-trimethyl-"
32,"1,2,4-trimethylcyclopentene","1,2,4-trimethylcyclopentene || Cyclopentene, 1,2,4-trimethyl-"
33,"1,2-butadiene","1,2-butadiene || methylallene || Allene, methyl- || Buta-1,2-diene || 1-Methylallene"
34,"1,2-dichloropropane (or Propylene dichloride)","Propylene dichloride || 1,2-dichloropropane || Propane, 1,2-dichloro-"
35,"1,2-diethyl-1-methylcyclohexane","1,2-diethyl-1-methylcyclohexane || Cyclohexane, 1,2-diethyl-1-methyl-"
36,"1,2-diethylbenzene (or o-diethylbenzene)","1,2-diethylbenzene || o-diethylbenzene || Benzene, 1,2-diethyl- || Benzene, o-diethyl-"
37,"1,2-dimethyl-3-ethylbenzene (or 3-Ethyl-o-xylene)","1,2-dimethyl-3-ethylbenzene || Benzene, 1-ethyl-2,3-dimethyl- || 3-Ethyl-o-xylene"
38,"Cyclohexane, 1-ethyl-2,3-dimethyl-","Cyclohexane, 1-ethyl-2,3-dimethyl || 1-Ethyl-2,3-dimethylcyclohexane || Cyclohexane, 1-ethyl-2,3-dimethyl-"
39,"1,2-dimethyl-4-ethylbenzene (or 2-Methyl-p-ethyltoluene || 4-Ethyl-o-xylene || 4-Ethyl-1,2-dimethylbenzene || 3,4-Dimethyl-1-ethylbenzene)","1,2-dimethyl-4-ethylbenzene  || 2-Methyl-p-ethyltoluene || 4-Ethyl-o-xylene || 4-Ethyl-1,2-dimethylbenzene || 3,4-Dimethyl-1-ethylbenzene"
